scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
rework,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,37.0,0.0,37.0,37.0,37.0,37.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,67.0,0.0,67.0,67.0,67.0,67.0
rework,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,112.0,0.0,112.0,112.0,112.0,112.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,6.166666666666667,6.166666666666666,9.362222582871203e-16,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
rework,0.0,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,declarative_test_f1,10,0.9090909090909092,0.9090909090909094,2.340555645717801e-16,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092
rework,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0432900432900432,0.0432900432900432,0.0,0.0432900432900432,0.0432900432900432,0.0432900432900432,0.0432900432900432
rework,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.03,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.1943918578315762,0.19397851170078162,0.07746417621821189,0.0807931358959111,0.2863969571159562,0.13759249686374364,0.2863969571159562
rework,0.03,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.03,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.03,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.03,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,45.4,13.525284963110142,37.0,65.0,37.0,65.0
rework,0.03,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,76.0,14.491376746189438,67.0,97.0,67.0,97.0
rework,0.03,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,121.9,15.940514420808384,112.0,145.0,112.0,145.0
rework,0.03,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,4.625,5.675,1.6906606203887677,4.625,8.125,4.625,8.125
rework,0.03,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.03,0.0,0.05,0.95,declarative_test_f1,10,0.588235294117647,0.6117647058823529,0.03788595227761948,0.588235294117647,0.6666666666666666,0.588235294117647,0.6666666666666666
rework,0.03,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.036764705882353,0.025735294117647096,0.017759040130134143,0.0,0.036764705882353,0.0,0.036764705882353
rework,0.03,0.0,0.05,0.95,declarative_closed_world_test_f1,10,0.588235294117647,0.6117647058823529,0.03788595227761948,0.588235294117647,0.6666666666666666,0.588235294117647,0.6666666666666666
rework,0.03,0.0,0.05,0.95,imperative_native_precision,10,0.9957865168539326,0.9956646966234427,0.0021017543564988053,0.9930555555555556,0.9985795454545454,0.9930555555555556,0.997183031154239
rework,0.03,0.0,0.05,0.95,declarative_full_trace_conformance,10,0.97,0.969,0.015238839267549964,0.95,0.99,0.95,0.98
rework,0.05,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.3069209381352162,0.3010612817842043,0.16935303592310308,0.0,0.557438185027989,0.1918663658121177,0.44764225809379377
rework,0.05,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,11.6,1.2649110640673518,8.0,12.0,12.0,12.0
rework,0.05,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,3.8,0.6324555320336759,2.0,4.0,4.0,4.0
rework,0.05,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,1.8,0.6324555320336759,0.0,2.0,2.0,2.0
rework,0.05,0.0,0.05,0.95,declarative_declare_constraints,10,64.0,53.3,14.032106042928836,37.0,65.0,37.0,64.0
rework,0.05,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,96.0,84.5,15.064675384635557,67.0,97.0,67.0,96.0
rework,0.05,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,144.0,131.3,16.613582127618088,112.0,145.0,112.0,144.0
rework,0.05,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.0,6.8166666666666655,1.6174683006797086,4.625,8.125,4.625,8.0
rework,0.05,0.0,0.05,0.95,imperative_test_f1,10,1.0,0.9666666666666666,0.10540925533894599,0.6666666666666666,1.0,1.0,1.0
rework,0.05,0.0,0.05,0.95,declarative_test_f1,10,0.8333333333333333,0.8019607843137255,0.21005726564605776,0.588235294117647,1.0,0.588235294117647,1.0
rework,0.05,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.014705882352941199,0.018985212481408935,0.0,0.036764705882353,0.0,0.036764705882353
rework,0.05,0.0,0.05,0.95,declarative_closed_world_test_f1,10,0.8333333333333333,0.8098039215686275,0.2025194802006398,0.588235294117647,1.0,0.588235294117647,1.0
rework,0.05,0.0,0.05,0.95,imperative_native_precision,10,0.992384131368938,0.9919582544633989,0.005459768158694005,0.9827127659574468,1.0,0.9871709173179761,0.9957942745320834
rework,0.05,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,0.986,0.01955050439815359,0.95,1.0,0.97,1.0
rework,0.07,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.3659236509002231,0.3592724300840521,0.06386663445244557,0.2422921890824148,0.4364698170641028,0.3069209381352162,0.4021791902022728
rework,0.07,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.07,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.07,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.07,0.0,0.05,0.95,declarative_declare_constraints,10,64.0,61.4,8.579044235810887,37.0,65.0,64.0,64.0
rework,0.07,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,96.0,93.2,9.211104409594132,67.0,97.0,96.0,96.0
rework,0.07,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,144.0,140.9,10.159286939107051,112.0,145.0,144.0,144.0
rework,0.07,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.0,7.675,1.0723805294763609,4.625,8.125,8.0,8.0
rework,0.07,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.07,0.0,0.05,0.95,declarative_test_f1,10,1.0,0.9254901960784313,0.15816453293860575,0.588235294117647,1.0,0.8333333333333333,1.0
rework,0.07,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0036764705882352997,0.011626020809442588,0.0,0.036764705882353,0.0,0.0
rework,0.07,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,0.9254901960784313,0.15816453293860575,0.588235294117647,1.0,0.8333333333333333,1.0
rework,0.07,0.0,0.05,0.95,imperative_native_precision,10,0.9903846153846154,0.990534916327426,0.0022053484535841912,0.9877717391304348,0.994413407821229,0.989071038251366,0.992384131368938
rework,0.07,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,0.991,0.0191195071996,0.95,1.0,0.98,1.0
rework,0.1,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.46819288761431543,0.48475955799768194,0.11014753174889537,0.3274449191544762,0.6800770457282799,0.40119673398216293,0.557438185027989
rework,0.1,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.1,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.1,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.1,0.0,0.05,0.95,declarative_declare_constraints,10,64.0,64.0,0.0,64.0,64.0,64.0,64.0
rework,0.1,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,96.0,96.0,0.0,96.0,96.0,96.0,96.0
rework,0.1,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,144.0,144.0,0.0,144.0,144.0,144.0,144.0
rework,0.1,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.1,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,declarative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.1,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,imperative_native_precision,10,0.9864933964469378,0.985551784406282,0.004654678390120746,0.9766839378238342,0.9917127071823204,0.9827127659574468,0.9890781772575251
rework,0.1,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
